,subject_id,task,condition,target,response,PROLIFIC_PID
103,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
104,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
105,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
106,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
107,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
108,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
109,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
110,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
111,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
112,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
113,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
114,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
115,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
116,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
117,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
118,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
119,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
120,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
121,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
122,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
123,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
124,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
125,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
126,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
127,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
128,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
129,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
130,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
131,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
